Order_Date,Priority,Quantity,Sales,Discount,Profit,Unit_Price,Shipping_Cost,Transportation,Customer_Name,Country,Region,State,City,Store_Name,Customer_Segment,Product_Category,Product_Sub_Category,Product_Container,Product_ID,Order_ID,Supplier,Expected_Date,Ship_Date
08/06/13,Urgent,8,969.68,0.02,-236.929,89.99,42,Delivery Truck,Mujjamil Pathak ,India,South,Tamil Nadu,Madurai,Allen,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,P565,4871,Argot,11/06/13,16/07/13
08/06/13,Low,36,117.78,0,-143.13,2.18,7.09,Regular Air,Narender Kumar A. Hubballi ,India,East,Tripura,Agartala,Powell,Home Office,Office Supplies,Paper,Wrap Bag,P155,58755,Elan,12/06/13,18/07/13
08/06/13,Low,39,316.7,0.05,8.4,9.77,6.02,Regular Air,Virabhadragouda Desai ,India,East,Uttar Pradesh,Lucknow,Jenkins,Consumer,Furniture,Office Furnishings,Medium Box,P365,45671,Elan,17/06/13,18/06/13
08/06/13,Urgent,66,318.9,0.03,-78.936,5.34,5.63,Regular Air,Lallungmuana Amarnath ,India,North,Uttarakhand,Haridwar,Anderson,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,P885,24519,Elan,17/06/13,22/06/13
08/06/13,Urgent,22,318.9,0.03,-85.008,5.34,5.63,Regular Air,S. Y ,India,East,West Bengal,Kalyani,Anderson,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,P885,24519,Elan,17/06/13,09/06/13
09/06/13,Urgent,87,450.96,0.08,-167.048,6.48,7.49,Regular Air,Hemant PALANI ,India,South,Telangana,Hyderabad,Rice,Corporate,Office Supplies,Paper,Small Box,P1249,4708,Dalian,13/06/13,14/06/13
09/06/13,Not Specified,150,12537.62,0.05,1308.5172,200.99,4.2,Regular Air,Mani Acharya ,India,South,Andhra Pradesh,Elamanchili,Shale,Corporate,Technology,Telephones and Communication,Small Box,P20,12228,Argot,21/06/13,01/07/13
09/06/13,High,6,185.97,0.07,-10.056,12.28,6.47,Express Air,R M ,India,East,Bihar,Dumraon,Jackson,Home Office,Office Supplies,Paper,Small Box,P1141,4676,Merxin,17/06/13,19/07/13
09/06/13,High,24,773.79,0.04,-76.46,8.46,3.62,Regular Air,Mehul Puri ,India,East,Bihar,Saharsa,Jordan,Home Office,Technology,Computer Peripherals,Small Pack,P685,51906,Merxin,20/06/13,04/07/13
09/06/13,Medium,78,3877.23,0,69.751,37.76,12.9,Regular Air,Bishwajit Saxena ,India,North,Chhattisgarh,Raipur,Morris,Corporate,Office Supplies,Storage & Organization,Small Box,P345,33090,Alibaba,13/06/13,10/06/13
09/06/13,Medium,24,61.77,0.1,-8.1834,2.08,1.49,Regular Air,Rajib Mojjada ,India,North,Haryana,Gurgaon,Garden,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P911,30149,Alibaba,14/06/13,29/07/13
09/06/13,Not Specified,120,12537.62,0.05,1635.6465,200.99,4.2,Regular Air,Pradip Agarwal ,India,South,Karnataka,Basavakalyan,Shale,Corporate,Technology,Telephones and Communication,Small Box,P20,12228,Argot,13/06/13,29/07/13
09/06/13,Not Specified,245,103.26,0.08,-50.875,1.68,1.57,Regular Air,Arcot Choudhari ,India,West,Maharashtra,Dahanu,Marietta,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,P795,20007,Philo,21/06/13,02/07/13
09/06/13,Medium,25,217.03,0.09,-132.96,33.94,19.19,Delivery Truck,Kommula C Singh Singh ,India,West,Maharashtra,Dhule,Garden,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,P768,30149,Global Source,19/06/13,18/07/13
09/06/13,Medium,20,434.06,0.09,-106.368,33.94,19.19,Delivery Truck,Jaspreet Babu ,India,North,Punjab,Fazilka,Garden,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,P768,30149,Global Source,21/06/13,05/08/13
09/06/13,High,6,27.05,0.08,-22.65845,5.74,5.01,Regular Air,Bradley Patro ,India,North,Rajasthan,Hindaun,Diaz,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P268,48388,Ningbo,14/06/13,12/07/13
09/06/13,High,12,61.99,0.07,-13.408,12.28,6.47,Express Air,D Bhargava ,India,East,Uttar Pradesh,Lucknow,Jackson,Home Office,Office Supplies,Paper,Small Box,P1141,4676,Merxin,15/06/13,10/06/13
09/06/13,Urgent,145,676.44,0.08,-131.252,6.48,7.49,Regular Air,Prem Nag ,India,East,Uttar Pradesh,Chandausi,Rice,Corporate,Office Supplies,Paper,Small Box,P1249,4708,Dalian,13/06/13,06/08/13
09/06/13,Not Specified,98,103.26,0.08,-50.875,1.68,1.57,Regular Air,Kiran Ramanan ,India,East,Uttar Pradesh,Basti,Marietta,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,P795,20007,Philo,19/06/13,11/06/13
09/06/13,Medium,176,1585.3,0.04,-30.31,14.42,6.75,Regular Air,Sanjeev Madhav Jonnavittula ,India,East,Uttar Pradesh,Sultanpur,Reyes,Home Office,Office Supplies,Appliances,Medium Box,P598,23333,Alibaba,20/06/13,16/07/13
09/06/13,Medium,104,2584.82,0,76.092,37.76,12.9,Regular Air,Sanjay Naiding ,India,North,Uttarakhand,Dehradun,Morris,Corporate,Office Supplies,Storage & Organization,Small Box,P345,33090,Alibaba,16/06/13,29/06/13
09/06/13,High,96,257.93,0.04,-57.345,8.46,3.62,Regular Air,Asim Mane ,India,North,Uttarakhand,Haridwar,Jordan,Home Office,Technology,Computer Peripherals,Small Pack,P685,51906,Merxin,16/06/13,10/06/13
09/06/13,Medium,220,2377.95,0.04,-34.64,14.42,6.75,Regular Air,Jigyasa Sarkar ,India,East,West Bengal,Kalimpong,Reyes,Home Office,Office Supplies,Appliances,Medium Box,P598,23333,Alibaba,21/06/13,25/06/13
09/06/13,Medium,24,41.18,0.1,-10.9112,2.08,1.49,Regular Air,Pradeep Jain ,India,East,West Bengal,Naihati,Garden,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P911,30149,Alibaba,19/06/13,31/07/13
09/06/13,High,6,81.15,0.08,-14.66135,5.74,5.01,Regular Air,Hirdesh Sharma ,India,East,West Bengal,Titagarh,Diaz,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P268,48388,Ningbo,19/06/13,16/07/13
10/06/13,High,38,37937.38,0.02,9427.496,400.97,48.26,Delivery Truck,Bhuvaneshwari Malik ,India,South,Telangana,Hyderabad,Mills,Corporate,Technology,Office Machines,Jumbo Box,P588,29411,Argot,18/06/13,14/06/13
10/06/13,High,15,830.49,0,-332.4475,85.99,3.3,Regular Air,Jay N S ,India,South,Andhra Pradesh,Akividu,Williams,Corporate,Technology,Telephones and Communication,Small Pack,P78,31043,Argot,22/06/13,05/07/13
10/06/13,High,98,965.53,0.02,389.129,15.28,1.99,Regular Air,Deepak Agarwal ,India,Central,Madhya Pradesh,Porsa,Williams,Corporate,Technology,Computer Peripherals,Small Pack,P760,31043,Dalian,15/06/13,31/07/13
10/06/13,High,152,18968.69,0.02,7977.112,400.97,48.26,Delivery Truck,Nandita Gupta ,India,West,Maharashtra,Latur,Mills,Corporate,Technology,Office Machines,Jumbo Box,P588,29411,Argot,13/06/13,07/08/13
10/06/13,High,49,965.53,0.02,359.196,15.28,1.99,Regular Air,PRADUMAN Pandey ,India,East,Uttar Pradesh,Allahabad,Williams,Corporate,Technology,Computer Peripherals,Small Pack,P760,31043,Dalian,18/06/13,21/07/13
10/06/13,High,12,553.66,0,-513.7825,85.99,3.3,Regular Air,Rohit Shankar ,India,North,Uttaranchal,Rishikesh,Williams,Corporate,Technology,Telephones and Communication,Small Pack,P78,31043,Argot,19/06/13,11/07/13
11/06/13,Urgent,80,2337.57,0.03,423.918,37.94,5.08,Regular Air,Jaikrishnan Subramanian ,India,South,Andhra Pradesh,Vizianagaram,Brooks,Home Office,Office Supplies,Paper,Wrap Bag,P966,34754,Philo,22/06/13,09/08/13
11/06/13,Not Specified,36,519.72,0.01,125.46,3.69,0.5,Regular Air,Ajay Prasad Yogi ,India,North East,Assam,Silchar,Ortiz,Corporate,Office Supplies,Labels,Small Box,P191,39972,Elan,15/06/13,22/07/13
11/06/13,High,66,15005.52,0.02,1327.3605,205.99,3,Regular Air,Vikram Vyas ,India,East,Bihar,Patna,Griffin,Home Office,Technology,Telephones and Communication,Small Box,P58,28802,Philo,19/06/13,17/07/13
11/06/13,Low,37,4253.82,0.01,956.787,43.98,1.99,Express Air,Gunajit Sharma ,India,East,Bihar,Dehri,Chickasa,Small Business,Technology,Computer Peripherals,Small Pack,P763,30720,Dalian,16/06/13,09/07/13
11/06/13,Not Specified,175,280.73,0.03,195.282,6.3,0.5,Regular Air,Sundar Srivastava ,India,East,Bihar,Hajipur,Ortiz,Corporate,Office Supplies,Labels,Small Box,P177,39972,Global Source,19/06/13,20/06/13
11/06/13,Not Specified,40,2819.79,0.07,131.252,19.98,8.68,Regular Air,Navin Maurya ,India,Central,Chhattisgarh,Bilaspur,Wright,Home Office,Office Supplies,Paper,Small Box,P975,32800,Compu Point,18/06/13,04/07/13
11/06/13,Medium,81,3044.42,0.01,311.454,42.76,6.22,Regular Air,Vishwajeet Verma ,India,North,Delhi,Bawana,Nichols,Consumer,Office Supplies,Storage & Organization,Small Box,P923,46307,Elan,14/06/13,17/06/13
11/06/13,High,180,840.62,0,44.115,8.34,4.82,Express Air,Vaibhav Ananda ,India,West,Goa,Panjim,Griffin,Home Office,Office Supplies,Paper,Small Box,P973,28802,Ningbo,14/06/13,08/07/13
11/06/13,Not Specified,8,154.3,0.03,-295.2774,35.99,1.1,Regular Air,Ravi Muppana ,India,North,Haryana,Gurgaon,Rice,Consumer,Technology,Telephones and Communication,Small Box,P89,14274,Elan,14/06/13,28/06/13
11/06/13,High,69,1034.5,0.08,102.72,17.67,8.99,Express Air,Vikal Singh ,India,Central,Jharkhand,Ramgarh,Griffin,Home Office,Furniture,Office Furnishings,Small Pack,P463,28802,Philo,18/06/13,29/07/13
11/06/13,Not Specified,129,1159.78,0.02,510.06,20.24,6.67,Regular Air,Sayali Gandhale ,India,South,Karnataka,Saundatti,Snyder,Corporate,Furniture,Office Furnishings,Small Pack,P359,36449,Global Source,19/06/13,20/07/13
11/06/13,Not Specified,36,173.24,0.01,81.549,3.69,0.5,Regular Air,Rasampalayam Mallik ,India,South,Karnataka,Manvi,Ortiz,Corporate,Office Supplies,Labels,Small Box,P191,39972,Elan,21/06/13,30/06/13
11/06/13,Not Specified,78,1360.35,0.09,30.9808,14.48,6.46,Regular Air,Sajal Wale ,India,Central,Madhya Pradesh,Daboh,Mitchell,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,P545,21792,Argot,17/06/13,17/07/13
11/06/13,Not Specified,19,121.33,0.05,-8.832,5.06,2.99,Regular Air,Santosh M Anisuzzaman ,India,Central,Madhya Pradesh,Satna,Ortiz,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P1127,39972,Philo,23/06/13,18/06/13
11/06/13,High,69,1551.75,0.08,71.904,17.67,8.99,Express Air,Sharad D ,India,West,Maharashtra,Solapur,Griffin,Home Office,Furniture,Office Furnishings,Small Pack,P463,28802,Philo,22/06/13,03/08/13
11/06/13,Medium,81,1522.21,0.01,368.082,42.76,6.22,Regular Air,Rakesh Kedari ,India,North,Punjab,Muktsar,Nichols,Consumer,Office Supplies,Storage & Organization,Small Box,P923,46307,Elan,15/06/13,09/07/13
11/06/13,High,36,840.62,0,38.925,8.34,4.82,Express Air,Sujit Bansode ,India,North,Rajasthan,Ganganagar,Griffin,Home Office,Office Supplies,Paper,Small Box,P973,28802,Ningbo,14/06/13,23/06/13
11/06/13,Low,185,2126.91,0.01,956.787,43.98,1.99,Express Air,Dharmesh Dahale ,India,North,Rajasthan,Beawar,Chickasa,Small Business,Technology,Computer Peripherals,Small Pack,P763,30720,Dalian,18/06/13,16/06/13
11/06/13,Urgent,32,2352.65,0.05,993.04735,59.78,10.29,Regular Air,Dibya P.V. ,India,North,Rajasthan,Kekri,Cement,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,P537,57600,Compu Point,22/06/13,10/08/13
11/06/13,Not Specified,160,1879.86,0.07,82.896,19.98,8.68,Regular Air,Vinod Thakur ,India,South,Tamil Nadu,Karaikkudi,Wright,Home Office,Office Supplies,Paper,Small Box,P975,32800,Compu Point,19/06/13,05/07/13
11/06/13,Urgent,32,7057.95,0.05,700.9746,59.78,10.29,Regular Air,Rajendra Daggupati ,India,South,Tamil Nadu,Cuddalore,Cement,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,P537,57600,Compu Point,17/06/13,27/07/13
11/06/13,Not Specified,2,77.15,0.03,-196.8516,35.99,1.1,Regular Air,Vishwajeet Verma ,India,East,Uttar Pradesh,Mirzapur,Rice,Consumer,Technology,Telephones and Communication,Small Box,P89,14274,Elan,21/06/13,10/08/13
11/06/13,Not Specified,99,14170.46,0.04,1742.625,355.98,58.92,Delivery Truck,Shyam J ,India,East,Uttar Pradesh,Kasganj,Wright,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,P608,32800,Merxin,18/06/13,13/07/13
11/06/13,Urgent,32,2337.57,0.03,423.918,37.94,5.08,Regular Air,Sujit Bajaj ,India,East,Uttar Pradesh,Basti,Brooks,Home Office,Office Supplies,Paper,Wrap Bag,P966,34754,Philo,23/06/13,22/07/13
11/06/13,Not Specified,215,2319.56,0.02,459.054,20.24,6.67,Regular Air,Parijeet Nagaraju Duba ,India,East,Uttar Pradesh,Gorakhpur,Snyder,Corporate,Furniture,Office Furnishings,Small Pack,P359,36449,Global Source,19/06/13,05/07/13
11/06/13,Not Specified,33,14170.46,0.04,1974.975,355.98,58.92,Delivery Truck,Ghanshyam Bande ,India,North,Uttaranchal,Rishikesh,Wright,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,P608,32800,Merxin,22/06/13,28/06/13
11/06/13,Not Specified,78,1360.35,0.09,34.8534,14.48,6.46,Regular Air,K Sahoo ,India,East,West Bengal,Haora,Mitchell,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,P545,21792,Argot,16/06/13,08/08/13
11/06/13,High,66,10003.68,0.02,1327.3605,205.99,3,Regular Air,Sachin Deorukhkar ,India,East,West Bengal,Chandannagar,Griffin,Home Office,Technology,Telephones and Communication,Small Box,P58,28802,Philo,20/06/13,08/08/13
11/06/13,Not Specified,19,121.33,0.05,-12.512,5.06,2.99,Regular Air,Satya Anjaneyulu ,India,East,West Bengal,Chandannagar,Ortiz,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P1127,39972,Philo,20/06/13,27/07/13
11/06/13,Not Specified,35,842.19,0.03,184.433,6.3,0.5,Regular Air,Vikas Shaikh ,India,East,West Bengal,Asansol,Ortiz,Corporate,Office Supplies,Labels,Small Box,P177,39972,Global Source,14/06/13,12/06/13
12/06/13,Not Specified,56,193.23,0.03,0.7,1.68,0.7,Express Air,Siddheshwarappa Ghosh ,India,East,Andaman and Nicobar Islands,Port Blair,Foster,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P785,69,Alibaba,17/06/13,25/06/13
12/06/13,Not Specified,112,128.82,0.03,0.7,1.68,0.7,Express Air,Siddheshwarappa Ghosh ,India,East,Andaman and Nicobar Islands,Port Blair,Foster,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P785,69,Alibaba,20/06/13,25/07/13
12/06/13,Low,88,690,0.08,-197.06,6.48,5.82,Regular Air,Javed Sasan ,India,South,Telangana,Serilingampalle,Hall,Corporate,Office Supplies,Paper,Small Box,P1234,36416,Ningbo,15/06/13,26/06/13
12/06/13,Low,138,165.01,0.04,9.702,2.88,1.01,Regular Air,Vaishali Mishra ,India,South,Telangana,Bhaisa,Hall,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P928,36416,Philo,15/06/13,23/07/13
12/06/13,Not Specified,112,193.23,0.03,0.525,1.68,0.7,Express Air,N S ,India,North East,Assam,Hajo,Foster,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P785,69,Global Source,17/06/13,22/06/13
12/06/13,Low,102,16450.4,0.1,5015.43,200.97,15.59,Delivery Truck,Vijay Venkata Durga Rao ,India,East,Bihar,Barhiya,Garden,Small Business,Technology,Office Machines,Jumbo Drum,P591,14338,Elan,18/06/13,03/07/13
12/06/13,Medium,52,3794.64,0.07,446.292,39.48,1.99,Regular Air,Ajay Srirangam ,India,East,Bihar,Bodh Gaya,Greene,Corporate,Technology,Computer Peripherals,Small Pack,P64,38594,Elan,22/06/13,16/07/13
12/06/13,Urgent,235,1050.05,0.04,-210.032,17.7,9.47,Regular Air,Kanak Sathyanarayanan ,India,West,Gujarat,Kalavad,Riley,Home Office,Office Supplies,Storage & Organization,Small Box,P876,611,Ningbo,16/06/13,28/07/13
12/06/13,High,5,1948.83,0.02,-134.299,100.98,7.18,Express Air,Siva Bhaumik ,India,South,Karnataka,Bijapur,Palmer,Home Office,Technology,Computer Peripherals,Small Box,P732,48642,Ningbo,17/06/13,22/07/13
12/06/13,Not Specified,16,1739.71,0.08,-766.9332,205.99,8.99,Regular Air,Narendra Hiremath Patil ,India,South,Karnataka,Shimoga,Simmons,Corporate,Technology,Telephones and Communication,Small Box,P1072,50242,Philo,23/06/13,15/07/13
12/06/13,Medium,52,2529.76,0.07,446.292,39.48,1.99,Regular Air,Yogesh Babu ,India,South,Kerala,Shertallai,Greene,Corporate,Technology,Computer Peripherals,Small Pack,P64,38594,Elan,22/06/13,25/07/13
12/06/13,High,25,649.61,0.02,-207.553,100.98,7.18,Express Air,Dipak Bhandarkar ,India,Central,Madhya Pradesh,Sironj,Palmer,Home Office,Technology,Computer Peripherals,Small Box,P732,48642,Ningbo,18/06/13,21/07/13
12/06/13,Medium,2,199.82,0,-100.187,27.75,19.99,Regular Air,Mahesh Rao ,India,Central,Madhya Pradesh,Ashta,Burns,Corporate,Office Supplies,Storage & Organization,Small Box,P500,55651,Philo,17/06/13,28/07/13
12/06/13,Medium,76,1538.54,0,90.6,30.98,6.5,Regular Air,Anup D ,India,West,Maharashtra,Thane,Ross,Corporate,Technology,Computer Peripherals,Small Box,P251,26439,Merxin,22/06/13,25/06/13
12/06/13,Not Specified,8,5219.13,0.08,-681.7184,205.99,8.99,Regular Air,Sumedh Rao ,India,West,Maharashtra,Chikhli,Simmons,Corporate,Technology,Telephones and Communication,Small Box,P1072,50242,Philo,20/06/13,07/08/13
12/06/13,Medium,69,2942.36,0.1,59.0139,65.99,4.99,Regular Air,Chetan Kumar ,India,North,Punjab,Kapurthala,Ross,Corporate,Technology,Telephones and Communication,Small Box,P778,26439,Ningbo,23/06/13,21/06/13
12/06/13,Low,176,1035,0.08,-128.089,6.48,5.82,Regular Air,Khushboo Nair ,India,North,Punjab,Fazilka,Hall,Corporate,Office Supplies,Paper,Small Box,P1234,36416,Ningbo,20/06/13,26/07/13
12/06/13,Low,15,78.3,0,-48.416,1.86,2.58,Regular Air,Dhamotharan Singh ,India,North,Punjab,Jalandhar,Ford,Home Office,Office Supplies,Rubber Bands,Wrap Bag,P1029,50210,Merxin,21/06/13,30/07/13
12/06/13,Urgent,141,3150.15,0.04,-262.54,17.7,9.47,Regular Air,Ashok Pokhriyal ,India,North,Rajasthan,Bundi,Riley,Home Office,Office Supplies,Storage & Organization,Small Box,P876,611,Ningbo,17/06/13,22/07/13
12/06/13,Low,92,330.02,0.04,13.167,2.88,1.01,Regular Air,Swapnil Qureshi ,India,South,Tamil Nadu,Karaikkudi,Hall,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P928,36416,Philo,24/06/13,16/06/13
12/06/13,Low,136,24675.6,0.1,5294.065,200.97,15.59,Delivery Truck,R M ,India,East,Uttar Pradesh,Padrauna,Garden,Small Business,Technology,Office Machines,Jumbo Drum,P591,14338,Elan,19/06/13,15/07/13
12/06/13,Medium,114,3077.08,0,143.45,30.98,6.5,Regular Air,Naveen D ,India,East,Uttar Pradesh,Sisauli,Ross,Corporate,Technology,Computer Peripherals,Small Box,P251,26439,Merxin,15/06/13,23/07/13
12/06/13,Medium,46,2942.36,0.1,80.4735,65.99,4.99,Regular Air,Chetan Singh ,India,East,Uttar Pradesh,Budaun,Ross,Corporate,Technology,Telephones and Communication,Small Box,P778,26439,Ningbo,19/06/13,11/07/13
12/06/13,Low,45,78.3,0,-60.52,1.86,2.58,Regular Air,Abhijit Shinde ,India,East,Uttar Pradesh,Mirzapur,Ford,Home Office,Office Supplies,Rubber Bands,Wrap Bag,P1029,50210,Merxin,20/06/13,26/06/13
12/06/13,Medium,10,199.82,0,-79.095,27.75,19.99,Regular Air,Bhagwansingh George ,India,East,Uttar Pradesh,Saharanpur,Burns,Corporate,Office Supplies,Storage & Organization,Small Box,P500,55651,Philo,18/06/13,15/06/13
12/06/13,Not Specified,112,64.41,0.03,0.42,1.68,0.7,Express Air,Deepak Agarwal ,India,North,Uttaranchal,Nainital,Foster,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P785,69,Alibaba,24/06/13,24/07/13
12/06/13,Not Specified,112,128.82,0.03,0.455,1.68,0.7,Express Air,Rajendra Rajagopalan ,India,East,West Bengal,Haora,Foster,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P785,69,Global Source,21/06/13,15/06/13
13/06/13,Medium,160,1138.47,0.1,-73.584,9.65,6.22,Regular Air,Megha Ramamoorthi ,India,West,Gujarat,Veraval,Robertson,Corporate,Furniture,Office Furnishings,Small Box,P416,1600,Argot,21/06/13,14/06/13
13/06/13,Medium,72,239.5,0.04,-211.036,4.98,7.44,Regular Air,Gunajit Sharma ,India,West,Gujarat,Ranavav,Robertson,Corporate,Office Supplies,Paper,Small Box,P1170,1600,Argot,18/06/13,24/06/13
13/06/13,Low,90,483.75,0.01,-62.9,12.28,6.13,Express Air,Jayantilal Karthikeyan ,India,West,Gujarat,Patan,Anderson,Home Office,Office Supplies,Storage & Organization,Small Box,P896,19138,Argot,19/06/13,01/08/13
13/06/13,Urgent,192,954.42,0.08,93.195,5.58,0.7,Regular Air,M Aghav ,India,West,Gujarat,Dabhoi,Weaver,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P790,26437,Compu Point,19/06/13,06/07/13
13/06/13,Not Specified,48,463.4,0.1,-203.788,15.7,11.25,Regular Air,Divya Lavakumar ,India,Central,Jharkhand,Dhanbad,Sanchez,Small Business,Office Supplies,Storage & Organization,Small Box,P577,3911,Consolidated,17/06/13,29/06/13
13/06/13,Medium,85,352.3,0.1,-119.46,17.98,4,Regular Air,Chetan Sharma ,India,Central,Jharkhand,Gobindpur,Waynoka,Consumer,Technology,Computer Peripherals,Small Box,P243,11585,Merxin,19/06/13,15/07/13
13/06/13,Medium,108,718.5,0.04,-241.184,4.98,7.44,Regular Air,Neelkantan BALAJI ,India,North East,Manipur,Imphal,Robertson,Corporate,Office Supplies,Paper,Small Box,P1170,1600,Argot,23/06/13,09/07/13
13/06/13,Medium,2,752.82,0.09,-847.5236,125.99,8.99,Regular Air,Srinivasu Khwaja ,India,North,Rajasthan,Baran,Waynoka,Consumer,Technology,Telephones and Communication,Small Box,P947,11585,Merxin,23/06/13,17/06/13
13/06/13,Not Specified,14,1644.27,0.02,284.1975,30.56,2.99,Express Air,Pradeep Shah ,India,North,Rajasthan,Baran,Snyder,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,P1031,14503,Global Source,21/06/13,11/08/13
13/06/13,Low,90,1451.25,0.01,-62.9,12.28,6.13,Express Air,Sunil Jeevanandam ,India,North,Rajasthan,Sikar,Anderson,Home Office,Office Supplies,Storage & Organization,Small Box,P896,19138,Argot,22/06/13,28/06/13
13/06/13,Medium,128,758.98,0.1,-82.782,9.65,6.22,Regular Air,Jeyaraman Jayesh ,India,South,Tamil Nadu,Ootacamund,Robertson,Corporate,Furniture,Office Furnishings,Small Box,P416,1600,Argot,23/06/13,20/06/13
13/06/13,Not Specified,72,1390.2,0.1,-203.788,15.7,11.25,Regular Air,Siddharth Nathan ,India,South,Tamil Nadu,Rameswaram,Sanchez,Small Business,Office Supplies,Storage & Organization,Small Box,P577,3911,Consolidated,19/06/13,10/08/13
13/06/13,Urgent,96,636.28,0.08,58.86,5.58,0.7,Regular Air,Ashutosh Gaur ,India,East,Uttar Pradesh,Mirzapur,Weaver,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,P790,26437,Compu Point,22/06/13,19/06/13
13/06/13,Not Specified,18,234.32,0.03,81.824,14.2,5.3,Regular Air,Lingaraj Swamy ,India,East,Uttar Pradesh,Etawah,Wilson,Home Office,Furniture,Office Furnishings,Wrap Bag,P343,53573,Elan,20/06/13,25/06/13
13/06/13,Not Specified,12,117.16,0.03,81.824,14.2,5.3,Regular Air,Naveen Nelutla ,India,East,Uttar Pradesh,Jaunpur,Wilson,Home Office,Furniture,Office Furnishings,Wrap Bag,P343,53573,Elan,16/06/13,10/08/13
